Frequency,Phase
128798020.0,-51.83643599999999
129448010.0,-53.006418
130098000.0,-54.1764
130747990.0,-55.34638199999998
131397980.0,-56.51636400000001
132047970.0,-57.686345999999986
132697960.0,-58.85632800000002
133347950.0,-60.026309999999995
133997940.0,-61.196292
134647930.0,-62.366273999999976
135297920.0,-63.53625600000001
135947910.0,-64.70623799999998
136597900.0,-65.87622000000002
137247890.0,-67.046202
137897880.0,-68.216184
138547870.0,-69.386166
139197860.0,-70.55614800000001
139847850.0,-71.72612999999998
140497840.0,-72.89611200000002
141147830.0,-74.06609399999999
141797820.0,-75.23607600000003
142447810.0,-76.40605799999997
143097800.0,-77.57604000000003
143747790.0,-78.74602199999998
144397780.0,-79.91600400000004
145047770.0,-81.08598599999999
145697760.0,-82.255968
146347750.0,-83.42595
146997740.0,-84.595932
147647730.0,-85.76591400000001
148297720.0,-86.93589600000001
148947710.0,-88.10587800000002
149597700.0,-89.27585999999997
150247690.0,-90.44584200000003
150897680.0,-91.61582399999998
151547670.0,-92.78580599999998
152197660.0,-93.95578799999998
152847650.0,-95.12576999999999
153497640.0,-96.295752
154147630.0,-97.465734
154797620.0,-98.635716
155447610.0,-99.805698
156097600.0,-100.97568000000001
156747590.0,-102.14566200000002
157397580.0,-103.31564399999996
158047570.0,-104.48562600000002
158697560.0,-105.65560799999997
159347550.0,-106.82559000000003
159997540.0,-107.99557199999998
160647530.0,-109.16555399999999
161297520.0,-110.33553599999999
161947510.0,-111.505518
162597500.0,-112.6755
163247490.0,-113.845482
163897480.0,-115.01546400000001
164547470.0,-116.18544600000001
165197460.0,-117.35542800000002
165847450.0,-118.52541000000002
166497440.0,-119.69539199999997
167147430.0,-120.86537400000003
167797420.0,-122.03535599999998
168447410.0,-123.20533800000004
169097400.0,-124.37531999999999
169747390.0,-125.54530199999999
170397380.0,-126.715284
171047370.0,-127.885266
171697360.0,-129.055248
172347350.0,-130.22523
172997340.0,-131.39521200000001
173647330.0,-132.56519400000002
174297320.0,-133.73517600000002
174947310.0,-134.90515799999997
175597300.0,-136.07513999999998
176247290.0,-137.24512199999998
176897280.0,-138.41510399999999
177547270.0,-139.585086
178197260.0,-140.755068
178847250.0,-141.92505
179497240.0,-143.095032
180147230.0,-144.265014
180797220.0,-145.434996
181447210.0,-146.60497799999996
182097200.0,-147.77496000000002
182747190.0,-148.94494199999997
183397180.0,-150.11492400000003
184047170.0,-151.28490599999998
184697160.0,-152.45488799999998
185347150.0,-153.62487
185997140.0,-154.794852
186647130.0,-155.964834
187297120.0,-157.134816
187947110.0,-158.304798
188597100.0,-159.47478
189247090.0,-160.64476200000001
189897080.0,-161.81474400000002
190547070.0,-162.98472599999997
191197060.0,-164.15470800000003
191847050.0,-165.32468999999998
192497040.0,-166.49467200000004
193147030.0,-167.66465399999998
193797020.0,-168.834636
194447010.0,-170.004618
195097000.0,-171.1746
195746990.0,-172.344582
196396980.0,-173.514564
197046970.0,-174.684546
197696960.0,-175.85452800000002
198346950.0,-177.02451000000002
198996940.0,-178.19449200000003
199646930.0,-179.36447399999997
200296920.0,179.46554400000002
200946910.0,178.29556200000002
201596900.0,177.12557999999996
202246890.0,175.955598
202896880.0,174.785616
203546870.0,173.615634
204196860.0,172.445652
204846850.0,171.27567000000005
205496840.0,170.105688
206146830.0,168.93570599999998
206796820.0,167.76572399999998
207446810.0,166.59574200000003
208096800.0,165.42576000000003
208746790.0,164.25577799999996
209396780.0,163.08579599999996
210046770.0,161.915814
210696760.0,160.745832
211346750.0,159.57585
211996740.0,158.40586799999994
212646730.0,157.23588600000005
213296720.0,156.065904
213946710.0,154.89592199999998
214596700.0,153.72593999999998
215246690.0,152.55595800000003
215896680.0,151.38597600000003
216546670.0,150.21599399999997
217196660.0,149.04601199999996
217846650.0,147.87603000000001
218496640.0,146.706048
219146630.0,145.536066
219796620.0,144.36608399999994
220446610.0,143.196102
221096600.0,142.02612
221746590.0,140.856138
222396580.0,139.68615599999998
223046570.0,138.51617400000003
223696560.0,137.34619199999997
224346550.0,136.17620999999997
224996540.0,135.00622800000002
225646530.0,133.83624600000002
226296520.0,132.666264
226946510.0,131.49628199999995
227596500.0,130.32630000000006
228246490.0,129.156318
228896480.0,127.986336
229546470.0,126.81635399999999
230196460.0,125.64637200000004
230846450.0,124.47639000000004
231496440.0,123.30640799999998
232146430.0,122.13642599999997
232796420.0,120.96644400000002
233446410.0,119.79646200000002
234096400.0,118.62648000000002
234746390.0,117.45649799999995
235396380.0,116.286516
236046370.0,115.116534
236696360.0,113.946552
237346350.0,112.77656999999999
237996340.0,111.60658800000004
238646330.0,110.43660599999998
239296320.0,109.26662399999998
239946310.0,108.09664199999997
240596300.0,106.92666000000003
